year,selling_price,km_driven,fuel,seller_type,transmission,owner,seats,mileage_kmpl,engine_cc,max_power_bhp,brand,car_age,owner_num
2014,450000,145500,Diesel,Individual,Manual,First Owner,5.0,23.4,1248.0,74.0,Maruti,12,1
2014,370000,120000,Diesel,Individual,Manual,Second Owner,5.0,21.14,1498.0,103.52,Skoda,12,2
2006,158000,140000,Petrol,Individual,Manual,Third Owner,5.0,17.7,1497.0,78.0,Honda,20,3
2010,225000,127000,Diesel,Individual,Manual,First Owner,5.0,23.0,1396.0,90.0,Hyundai,16,1
2007,130000,120000,Petrol,Individual,Manual,First Owner,5.0,16.1,1298.0,88.2,Maruti,19,1
2017,440000,45000,Petrol,Individual,Manual,First Owner,5.0,20.14,1197.0,81.86,Hyundai,9,1
2007,96000,175000,LPG,Individual,Manual,First Owner,5.0,17.3,1061.0,57.5,Maruti,19,1
2001,45000,5000,Petrol,Individual,Manual,Second Owner,4.0,16.1,796.0,37.0,Maruti,25,2
2011,350000,90000,Diesel,Individual,Manual,First Owner,5.0,23.59,1364.0,67.1,Toyota,15,1
2013,200000,169000,Diesel,Individual,Manual,First Owner,5.0,20.0,1399.0,68.1,Ford,13,1
2014,500000,68000,Diesel,Individual,Manual,Second Owner,5.0,19.01,1461.0,108.45,Renault,12,2
2005,92000,100000,Petrol,Individual,Manual,Second Owner,5.0,17.3,993.0,60.0,Maruti,21,2
2009,280000,140000,Diesel,Individual,Manual,Second Owner,5.0,19.3,1248.0,73.9,Maruti,17,2
2007,200000,80000,Petrol,Individual,Manual,Second Owner,,,,,Maruti,19,2
2009,180000,90000,Petrol,Individual,Manual,Second Owner,5.0,18.9,1061.0,67.0,Maruti,17,2
2016,400000,40000,Petrol,Individual,Manual,First Owner,5.0,18.15,1198.0,82.0,Mahindra,10,1
2016,778000,70000,Diesel,Individual,Manual,Second Owner,7.0,24.52,1248.0,88.5,Maruti,10,2
2012,500000,53000,Diesel,Individual,Manual,Second Owner,5.0,23.0,1396.0,90.0,Hyundai,14,2
2002,150000,80000,Petrol,Individual,Manual,Second Owner,5.0,19.7,796.0,46.3,Maruti,24,2
2016,680000,100000,Diesel,Individual,Manual,First Owner,5.0,22.54,1396.0,88.73,Hyundai,10,1
2011,174000,100000,Diesel,Individual,Manual,Second Owner,5.0,21.0,1461.0,64.1,Mahindra,15,2
2017,950000,50000,Diesel,Individual,Manual,First Owner,5.0,25.5,1498.0,98.6,Honda,9,1
2015,525000,40000,Diesel,Individual,Manual,First Owner,5.0,26.59,1248.0,74.0,Maruti,11,1
2012,600000,72000,Diesel,Individual,Manual,First Owner,5.0,21.5,1248.0,88.8,Maruti,14,1
2018,500000,35000,Petrol,Individual,Manual,First Owner,5.0,20.3,1199.0,83.81,Tata,8,1
2016,575000,45000,Petrol,Individual,Manual,First Owner,5.0,21.4,1197.0,83.1,Maruti,10,1
2017,275000,28000,Petrol,Individual,Manual,First Owner,5.0,24.7,796.0,47.3,Maruti,9,1
2013,300000,70000,Diesel,Individual,Manual,First Owner,7.0,18.2,1248.0,73.8,Chevrolet,13,1
2009,220000,120000,Petrol,Individual,Manual,First Owner,5.0,18.9,1061.0,67.0,Maruti,17,1
2018,254999,25000,Petrol,Individual,Manual,First Owner,8.0,16.8,796.0,34.2,Maruti,8,1
2017,670000,70000,Diesel,Individual,Manual,First Owner,5.0,24.3,1248.0,88.5,Maruti,9,1
2003,70000,50000,Petrol,Individual,Manual,Second Owner,,,,,Fiat,23,2
2012,150000,35000,Petrol,Individual,Manual,Second Owner,5.0,14.0,796.0,35.0,Maruti,14,2
